source,team_slug,team_name,name,slug,position,club,date_of_birth,nationality,source_url,matched_player_id,matched_player_name,match_confidence,status,notes
Wikipedia,south-korea,South Korea,Jo Hyeon-woo,jo-hyeon-woo,GK,Ulsan HD,"( 1991-09-25 ) September 25, 1991 (aged 34)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | Jo Hyeon-woo | ( 1991-09-25 ) September 25, 1991 (aged 34) | 47 | 0 | Ulsan HD"
Wikipedia,south-korea,South Korea,Song Bum-keun,song-bum-keun,GK,Jeonbuk Hyundai Motors,"( 1997-10-15 ) October 15, 1997 (aged 28)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | Song Bum-keun | ( 1997-10-15 ) October 15, 1997 (aged 28) | 2 | 0 | Jeonbuk Hyundai Motors"
Wikipedia,south-korea,South Korea,Kim Min-jae,kim-min-jae,DF,Bayern Munich,"( 1996-11-15 ) November 15, 1996 (aged 29)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Kim Min-jae | ( 1996-11-15 ) November 15, 1996 (aged 29) | 77 | 4 | Bayern Munich"
Wikipedia,south-korea,South Korea,Kim Moon-hwan,kim-moon-hwan,DF,Daejeon Hana Citizen,"( 1995-08-01 ) August 1, 1995 (aged 30)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Kim Moon-hwan | ( 1995-08-01 ) August 1, 1995 (aged 30) | 34 | 0 | Daejeon Hana Citizen"
Wikipedia,south-korea,South Korea,Seol Young-woo,seol-young-woo,DF,Red Star Belgrade,"( 1998-12-05 ) December 5, 1998 (aged 27)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Seol Young-woo | ( 1998-12-05 ) December 5, 1998 (aged 27) | 32 | 0 | Red Star Belgrade"
Wikipedia,south-korea,South Korea,Cho Yu-min,cho-yu-min,DF,Sharjah,"( 1996-11-17 ) November 17, 1996 (aged 29)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Cho Yu-min | ( 1996-11-17 ) November 17, 1996 (aged 29) | 18 | 0 | Sharjah"
Wikipedia,south-korea,South Korea,Lee Tae-seok,lee-tae-seok,DF,Austria Wien,"( 2002-07-28 ) July 28, 2002 (aged 23)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Lee Tae-seok | ( 2002-07-28 ) July 28, 2002 (aged 23) | 14 | 1 | Austria Wien"
Wikipedia,south-korea,South Korea,Park Jin-seob,park-jin-seob,DF,Zhejiang FC,"( 1995-10-23 ) October 23, 1995 (aged 30)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Park Jin-seob | ( 1995-10-23 ) October 23, 1995 (aged 30) | 12 | 1 | Zhejiang FC"
Wikipedia,south-korea,South Korea,Kim Tae-hyeon,kim-tae-hyeon,DF,Kashima Antlers,"( 2000-09-17 ) September 17, 2000 (aged 25)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Kim Tae-hyeon | ( 2000-09-17 ) September 17, 2000 (aged 25) | 7 | 0 | Kashima Antlers"
Wikipedia,south-korea,South Korea,Lee Han-beom,lee-han-beom,DF,Midtjylland,"( 2002-06-17 ) June 17, 2002 (aged 23)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Lee Han-beom | ( 2002-06-17 ) June 17, 2002 (aged 23) | 6 | 0 | Midtjylland"
