id,team_id,team_slug,name,slug,position,club,nationality,source_url,status,reason,action
3962,60,brazil,John Victor,john-victor,GK,Nottingham Forest,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3964,60,brazil,Marquinhos,marquinhos,DF,Paris Saint-Germain,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3966,60,brazil,Alex Sandro,alex-sandro,DF,Flamengo,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3968,60,brazil,Bremer,bremer,DF,Juventus,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3970,60,brazil,Wesley,wesley,DF,Roma,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3972,60,brazil,Douglas Santos,douglas-santos,DF,Zenit Saint Petersburg,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3974,60,brazil,Alexsandro,alexsandro,DF,Lille,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3976,60,brazil,Léo Ortiz,leo-ortiz,DF,Flamengo,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3978,60,brazil,Vitinho,vitinho,DF,Botafogo,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3980,60,brazil,Luciano Juba,luciano-juba,DF,Bahia,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3982,60,brazil,Casemiro ( captain ),casemiro-captain,MF,Manchester United,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3984,60,brazil,Bruno Guimarães,bruno-guimaraes,MF,Newcastle United,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3957,60,brazil,Alisson,alisson,GK,Liverpool,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3959,60,brazil,Bento,bento,GK,Al-Nassr,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3961,60,brazil,Weverton,weverton,GK,Grêmio,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3963,60,brazil,Thiago Silva,thiago-silva,DF,Porto,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3965,60,brazil,Danilo Luiz,danilo-luiz,DF,Flamengo,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3967,60,brazil,Gabriel Magalhães,gabriel-magalhaes,DF,Arsenal,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3969,60,brazil,Fabrício Bruno,fabricio-bruno,DF,Cruzeiro,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3971,60,brazil,Roger Ibañez,roger-ibanez,DF,Al-Ahli,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3973,60,brazil,Carlos Augusto,carlos-augusto,DF,Inter Milan,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
